103,jedzenie
63,PUSTE
40,kurczak
34,czerwone
32,obiad
25,zwierzę
21,baranina
21,wołowina
18,krowa
18,wędlina
16,mielone
15,świeże
15,zwierze
14,wieprzowina
13,dobre
13,kotlet
12,drób
11,armatnie
10,białko
10,jeść
10,wieprzowe
9,wołowe
8,smaczne
8,tłuszcz
7,baran
7,kura
7,owca
7,SUROWE
7,świnia
6,krew
6,szynka
6,warzywa
6,wegetarianin
6,wędliny
5,wegetarianizm
4,białe
4,czerwień
4,nieświeże
4,tłuste
4,zepsute
4,zwierzęta
3,jagnięcina
3,krwiste
3,ludzkie
3,masarnia
3,mleko
3,posiłek
3,ryba
3,schab
3,ser
3,stare
3,śmierć
2,baranie
2,danie
2,fuj
2,głód
2,jagnięce
2,jarosz
2,jem
2,jeśc
2,kiełbasa
2,konina
2,krowie
2,krowy
2,nie
2,"nie jem"
2,niedobre
2,niezdrowe
2,owoce
2,potrawa
2,roslina
2,róż
2,różowe
2,rzeźnik
2,rzucać
2,słone
2,smak
2,śmierdzi
2,świnka
2,tatar
2,wegetarianie
2,wolowe
2,zło
2,żywe
1,amciu
1,baraz
1,bekon
1,bialko
1,brokuł
1,brudne
1,było
1,chuj
1,cielęcina
1,cierpienie
1,ciężkie
1,cleb
1,"cmentarz w żołądku"
1,czerowny
1,czerwon
1,"czerwone wołowina"
1,czerwony
1,często
1,"dla psa"
1,dober
1,drobiowe
1,dużo
1,dziczyzna
1,gdf
1,grill
1,hrhre
1,indycze
1,jajko
1,jedzenioe
1,jes
1,jest
1,jeść]
1,jez
1,jeż
1,jęść
1,kalorie
1,karkówka
1,kebab
1,kłopot
1,konia
1,konkrety
1,koń
1,kość
1,kot
1,kotler
1,kraba
1,krokodyl
1,krolika
1,kurczaka
1,kurczę
1,kurze
1,lama
1,lodówka
1,luksus
1,lwie
1,meat
1,miasto
1,mielne
1,"mielone nie wiadomo co"
1,mięcho
1,mięsko
1,mięso
1,mięśnie
1,milone
1,"mniam mniam"
1,"nie dziękuję"
1,niejadalne
1,niesmaczne
1,noz
1,nuda
1,olej
1,osęim
1,owoc
1,padlina
1,piątek
1,pieczone
1,piekienlne
1,pociąg
1,pożywienie
1,pożywne
1,pożywny
1,pust
1,pyszka
1,pyszne
1,ryby
1,rzucam
1,salami
1,schabowy
1,sklep
1,smack
1,smażenie
1,soja
1,sos
1,spaghetti
1,spożywać
1,stek
1,swieze
1,"symphonic vegetarian grindcore"
1,świania
1,świeze
1,"tak\1"
1,"też byś chciał"
1,tluszcz
1,tratwa
1,ujeść
1,vega
1,warzywo
1,wątroba
1,wegetarianka
1,wełna
1,widelec
1,wieś
1,wlosy
1,włókniste
1,wołowre
1,wół
1,"z kurczaka"
1,zabojstwo
1,zabójstwo
1,zakupy
1,zdrowe
1,zeberka
1,zgniłe
1,ziarno
1,zomfg
1,zwerze
1,zwierz
1,zwierzeta
1,zwięrzę
1,zycie
1,żarcie
1,życie
